epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5199,1.21512,3.00171,1.89181,1.68975,0,0.66003,0.94667,0.86973,0.80177,0.66003,0.94667,0.86973,0.77263,0.43832,0.57032,0.60559,0.84048,0,0.000369332,0.000369332,0.000369332
2,147.502,1.26359,3.09848,1.71414,1.71654,0,0.74164,0.91915,0.97673,0.85518,0.74164,0.91915,0.97673,0.86451,0.47659,0.64691,0.59113,0.85448,0,0.000736737,0.000736737,0.000736737
3,210.143,1.3354,3.16606,1.7362,1.77653,0,0.67307,0.70499,0.66726,0.5819,0.67307,0.70499,0.6665,0.54832,0.57232,0.77672,1.05964,0.93792,0,0.00110121,0.00110121,0.00110121
4,274.077,1.32114,3.17832,1.82607,1.80039,0,0.92184,0.92487,0.97385,0.86215,0.92184,0.92487,0.97385,0.82032,0.48912,0.752,0.82178,0.86185,0,0.0010978,0.0010978,0.0010978
5,338.833,1.26665,3.01149,1.56732,1.72866,0,0.82195,0.92982,0.9835,0.86656,0.82195,0.92982,0.9835,0.86657,0.52827,0.63273,0.61582,0.88562,0,0.0010934,0.0010934,0.0010934
6,402.849,1.25436,2.90629,1.53123,1.7118,0,0.70121,0.77167,0.83355,0.73435,0.70121,0.77167,0.83355,0.71355,0.4883,0.66402,1.04507,0.88791,0,0.001089,0.001089,0.001089
7,466.885,1.17411,2.80342,1.43586,1.6601,0,0.93779,0.953,0.98345,0.8843,0.924,0.9399,0.97173,0.84553,0.47922,0.62541,0.43567,0.89156,0,0.0010846,0.0010846,0.0010846
8,529.768,1.14678,2.73621,1.40576,1.63457,0,0.84751,0.98667,0.9836,0.88222,0.84751,0.98667,0.9836,0.85661,0.41187,0.56009,0.48241,0.86707,0,0.0010802,0.0010802,0.0010802
9,590.498,1.11961,2.71432,1.37554,1.61371,0,0.95854,0.92266,0.97832,0.88248,0.95854,0.92266,0.97832,0.85983,0.41851,0.59874,0.37373,0.86666,0,0.0010758,0.0010758,0.0010758
10,651.261,1.1184,2.65499,1.32586,1.61125,0,0.96746,0.95552,0.98463,0.86871,0.97296,0.93669,0.97229,0.84536,0.55533,0.61219,0.42741,0.91047,0,0.0010714,0.0010714,0.0010714
11,712.764,1.10902,2.63871,1.28867,1.59105,0,0.86399,0.93587,0.9799,0.89014,0.86399,0.93587,0.9799,0.85583,0.41875,0.5476,0.4638,0.86093,0,0.001067,0.001067,0.001067
12,773.457,1.07801,2.58515,1.27245,1.57656,0,0.93003,0.98667,0.9838,0.94437,0.93003,0.98667,0.9838,0.91441,0.33942,0.40211,0.34786,0.82707,0,0.0010626,0.0010626,0.0010626
13,834.715,1.05561,2.52851,1.24722,1.5575,0,0.968,0.98667,0.98357,0.92802,0.968,0.98667,0.98357,0.89877,0.36542,0.46572,0.41244,0.82939,0,0.00105821,0.00105821,0.00105821
14,894.53,1.04549,2.49129,1.23197,1.56193,0,0.94628,0.94364,0.98363,0.93263,0.94628,0.94364,0.98363,0.90052,0.344,0.47407,0.39489,0.82974,0,0.00105381,0.00105381,0.00105381
15,955.197,1.02598,2.4821,1.18879,1.52563,0,0.91882,0.98341,0.97712,0.92188,0.91882,0.98341,0.97712,0.88384,0.35392,0.53717,0.35948,0.82616,0,0.00104941,0.00104941,0.00104941
16,1015.56,1.02091,2.4734,1.17084,1.52677,0,0.92713,0.94795,0.98396,0.90379,0.92713,0.94795,0.98396,0.88144,0.38339,0.51934,0.48323,0.83649,0,0.00104501,0.00104501,0.00104501
17,1075.87,0.99679,2.45901,1.17544,1.5147,0,0.94219,0.95025,0.9835,0.918,0.94219,0.95025,0.9835,0.86462,0.3802,0.60414,0.35245,0.82664,0,0.00104061,0.00104061,0.00104061
18,1136.5,0.99386,2.44995,1.14468,1.50318,0,0.81132,0.93211,0.95945,0.90006,0.81132,0.93211,0.95945,0.87998,0.33533,0.49776,0.54831,0.82897,0,0.00103621,0.00103621,0.00103621
19,1197.14,1.00589,2.38941,1.1267,1.50127,0,0.93881,0.98667,0.98358,0.89123,0.93881,0.98667,0.98358,0.91526,0.41461,0.42406,0.40202,0.84349,0,0.00103181,0.00103181,0.00103181
